,abstract,author,date,journal,key,key_word,pages,provenance,score,title,unique_key
10,"  The Cactus Framework is an open-source, modular, portable programming
environment for the collaborative development and deployment of scientific
applications using high-performance computing. Its roots reach back to 1996 at
the National Center for Supercomputer Applications and the Albert Einstein
Institute in Germany, where its development jumpstarted. Since then, the Cactus
framework has witnessed major changes in hardware infrastructure as well as its
own community. This paper describes its endurance through these past changes
and, drawing upon lessons from its past, also discusses future
",Frank Löffler,2013,arXiv,Löffler2013,,,arXiv,,Cactus: Issues for Sustainable Simulation Software,e306d9da14699b98ea54b70a01fb1195
11,"  The Cactus Framework is an open-source, modular, portable programming
environment for the collaborative development and deployment of scientific
applications using high-performance computing. Its roots reach back to 1996 at
the National Center for Supercomputer Applications and the Albert Einstein
Institute in Germany, where its development jumpstarted. Since then, the Cactus
framework has witnessed major changes in hardware infrastructure as well as its
own community. This paper describes its endurance through these past changes
and, drawing upon lessons from its past, also discusses future
",Steven R. Brandt,2013,arXiv,Löffler2013,,,arXiv,,Cactus: Issues for Sustainable Simulation Software,e306d9da14699b98ea54b70a01fb1195
12,"  The Cactus Framework is an open-source, modular, portable programming
environment for the collaborative development and deployment of scientific
applications using high-performance computing. Its roots reach back to 1996 at
the National Center for Supercomputer Applications and the Albert Einstein
Institute in Germany, where its development jumpstarted. Since then, the Cactus
framework has witnessed major changes in hardware infrastructure as well as its
own community. This paper describes its endurance through these past changes
and, drawing upon lessons from its past, also discusses future
",Gabrielle Allen,2013,arXiv,Löffler2013,,,arXiv,,Cactus: Issues for Sustainable Simulation Software,e306d9da14699b98ea54b70a01fb1195
13,"  The Cactus Framework is an open-source, modular, portable programming
environment for the collaborative development and deployment of scientific
applications using high-performance computing. Its roots reach back to 1996 at
the National Center for Supercomputer Applications and the Albert Einstein
Institute in Germany, where its development jumpstarted. Since then, the Cactus
framework has witnessed major changes in hardware infrastructure as well as its
own community. This paper describes its endurance through these past changes
and, drawing upon lessons from its past, also discusses future
",Erik Schnetter,2013,arXiv,Löffler2013,,,arXiv,,Cactus: Issues for Sustainable Simulation Software,e306d9da14699b98ea54b70a01fb1195
14,"  Sustainable software ecosystems are difficult to build, and require concerted
effort, community norms and collaborations. In science it is especially
important to establish communities in which faculty, staff, students and
open-source professionals work together and treat software as a first-class
product of scientific investigation-just as mathematics is treated in the
physical sciences. Kitware has a rich history of establishing collaborative
projects in the science, engineering and medical research fields, and continues
to work on improving that model as new technologies and approaches become
available. This approach closely follows and is enhanced by the movement
towards practicing open, reproducible research in the sciences where data,
source code, methodology and approach are all available so that complex
experiments can be independently reproduced and verified.
",Marcus D. Hanwell,2013,arXiv,Hanwell2013,,,arXiv,,Sustainable Software Ecosystems for Open Science,3107e51e804decfece413933819d1567
15,"  Sustainable software ecosystems are difficult to build, and require concerted
effort, community norms and collaborations. In science it is especially
important to establish communities in which faculty, staff, students and
open-source professionals work together and treat software as a first-class
product of scientific investigation-just as mathematics is treated in the
physical sciences. Kitware has a rich history of establishing collaborative
projects in the science, engineering and medical research fields, and continues
to work on improving that model as new technologies and approaches become
available. This approach closely follows and is enhanced by the movement
towards practicing open, reproducible research in the sciences where data,
source code, methodology and approach are all available so that complex
experiments can be independently reproduced and verified.
",Amitha Perera,2013,arXiv,Hanwell2013,,,arXiv,,Sustainable Software Ecosystems for Open Science,3107e51e804decfece413933819d1567
16,"  Sustainable software ecosystems are difficult to build, and require concerted
effort, community norms and collaborations. In science it is especially
important to establish communities in which faculty, staff, students and
open-source professionals work together and treat software as a first-class
product of scientific investigation-just as mathematics is treated in the
physical sciences. Kitware has a rich history of establishing collaborative
projects in the science, engineering and medical research fields, and continues
to work on improving that model as new technologies and approaches become
available. This approach closely follows and is enhanced by the movement
towards practicing open, reproducible research in the sciences where data,
source code, methodology and approach are all available so that complex
experiments can be independently reproduced and verified.
",Wes Turner,2013,arXiv,Hanwell2013,,,arXiv,,Sustainable Software Ecosystems for Open Science,3107e51e804decfece413933819d1567
17,"  Sustainable software ecosystems are difficult to build, and require concerted
effort, community norms and collaborations. In science it is especially
important to establish communities in which faculty, staff, students and
open-source professionals work together and treat software as a first-class
product of scientific investigation-just as mathematics is treated in the
physical sciences. Kitware has a rich history of establishing collaborative
projects in the science, engineering and medical research fields, and continues
to work on improving that model as new technologies and approaches become
available. This approach closely follows and is enhanced by the movement
towards practicing open, reproducible research in the sciences where data,
source code, methodology and approach are all available so that complex
experiments can be independently reproduced and verified.
",Patrick O'Leary,2013,arXiv,Hanwell2013,,,arXiv,,Sustainable Software Ecosystems for Open Science,3107e51e804decfece413933819d1567
18,"  Sustainable software ecosystems are difficult to build, and require concerted
effort, community norms and collaborations. In science it is especially
important to establish communities in which faculty, staff, students and
open-source professionals work together and treat software as a first-class
product of scientific investigation-just as mathematics is treated in the
physical sciences. Kitware has a rich history of establishing collaborative
projects in the science, engineering and medical research fields, and continues
to work on improving that model as new technologies and approaches become
available. This approach closely follows and is enhanced by the movement
towards practicing open, reproducible research in the sciences where data,
source code, methodology and approach are all available so that complex
experiments can be independently reproduced and verified.
",Katie Osterdahl,2013,arXiv,Hanwell2013,,,arXiv,,Sustainable Software Ecosystems for Open Science,3107e51e804decfece413933819d1567
19,"  Sustainable software ecosystems are difficult to build, and require concerted
effort, community norms and collaborations. In science it is especially
important to establish communities in which faculty, staff, students and
open-source professionals work together and treat software as a first-class
product of scientific investigation-just as mathematics is treated in the
physical sciences. Kitware has a rich history of establishing collaborative
projects in the science, engineering and medical research fields, and continues
to work on improving that model as new technologies and approaches become
available. This approach closely follows and is enhanced by the movement
towards practicing open, reproducible research in the sciences where data,
source code, methodology and approach are all available so that complex
experiments can be independently reproduced and verified.
",Bill Hoffman,2013,arXiv,Hanwell2013,,,arXiv,,Sustainable Software Ecosystems for Open Science,3107e51e804decfece413933819d1567
20,"  Sustainable software ecosystems are difficult to build, and require concerted
effort, community norms and collaborations. In science it is especially
important to establish communities in which faculty, staff, students and
open-source professionals work together and treat software as a first-class
product of scientific investigation-just as mathematics is treated in the
physical sciences. Kitware has a rich history of establishing collaborative
projects in the science, engineering and medical research fields, and continues
to work on improving that model as new technologies and approaches become
available. This approach closely follows and is enhanced by the movement
towards practicing open, reproducible research in the sciences where data,
source code, methodology and approach are all available so that complex
experiments can be independently reproduced and verified.
",Will Schroeder,2013,arXiv,Hanwell2013,,,arXiv,,Sustainable Software Ecosystems for Open Science,3107e51e804decfece413933819d1567
21,"  Sustainability is a central concern for our society, and software systems
increasingly play a central role in it. As designers of software technology, we
cause change and are responsible for the effects of our design choices. We
recognize that there is a rapidly increasing awareness of the fundamental need
and desire for a more sustainable world, and there is a lot of genuine
goodwill. However, this alone will be ineffective unless we come to understand
and address our persistent misperceptions. The Karlskrona Manifesto for
Sustainability Design aims to initiate a much needed conversation in and beyond
the software community by highlighting such perceptions and proposing a set of
fundamental principles for sustainability design.
",Christoph Becker,2014,arXiv,Becker2014,,,arXiv,,The Karlskrona manifesto for sustainability design,7676f49d9f74b0cb64eff2d3527ca5e3
22,"  Sustainability is a central concern for our society, and software systems
increasingly play a central role in it. As designers of software technology, we
cause change and are responsible for the effects of our design choices. We
recognize that there is a rapidly increasing awareness of the fundamental need
and desire for a more sustainable world, and there is a lot of genuine
goodwill. However, this alone will be ineffective unless we come to understand
and address our persistent misperceptions. The Karlskrona Manifesto for
Sustainability Design aims to initiate a much needed conversation in and beyond
the software community by highlighting such perceptions and proposing a set of
fundamental principles for sustainability design.
",Ruzanna Chitchyan,2014,arXiv,Becker2014,,,arXiv,,The Karlskrona manifesto for sustainability design,7676f49d9f74b0cb64eff2d3527ca5e3
23,"  Sustainability is a central concern for our society, and software systems
increasingly play a central role in it. As designers of software technology, we
cause change and are responsible for the effects of our design choices. We
recognize that there is a rapidly increasing awareness of the fundamental need
and desire for a more sustainable world, and there is a lot of genuine
goodwill. However, this alone will be ineffective unless we come to understand
and address our persistent misperceptions. The Karlskrona Manifesto for
Sustainability Design aims to initiate a much needed conversation in and beyond
the software community by highlighting such perceptions and proposing a set of
fundamental principles for sustainability design.
",Leticia Duboc,2014,arXiv,Becker2014,,,arXiv,,The Karlskrona manifesto for sustainability design,7676f49d9f74b0cb64eff2d3527ca5e3
24,"  Sustainability is a central concern for our society, and software systems
increasingly play a central role in it. As designers of software technology, we
cause change and are responsible for the effects of our design choices. We
recognize that there is a rapidly increasing awareness of the fundamental need
and desire for a more sustainable world, and there is a lot of genuine
goodwill. However, this alone will be ineffective unless we come to understand
and address our persistent misperceptions. The Karlskrona Manifesto for
Sustainability Design aims to initiate a much needed conversation in and beyond
the software community by highlighting such perceptions and proposing a set of
fundamental principles for sustainability design.
",Steve Easterbrook,2014,arXiv,Becker2014,,,arXiv,,The Karlskrona manifesto for sustainability design,7676f49d9f74b0cb64eff2d3527ca5e3
25,"  Sustainability is a central concern for our society, and software systems
increasingly play a central role in it. As designers of software technology, we
cause change and are responsible for the effects of our design choices. We
recognize that there is a rapidly increasing awareness of the fundamental need
and desire for a more sustainable world, and there is a lot of genuine
goodwill. However, this alone will be ineffective unless we come to understand
and address our persistent misperceptions. The Karlskrona Manifesto for
Sustainability Design aims to initiate a much needed conversation in and beyond
the software community by highlighting such perceptions and proposing a set of
fundamental principles for sustainability design.
",Martin Mahaux,2014,arXiv,Becker2014,,,arXiv,,The Karlskrona manifesto for sustainability design,7676f49d9f74b0cb64eff2d3527ca5e3
26,"  Sustainability is a central concern for our society, and software systems
increasingly play a central role in it. As designers of software technology, we
cause change and are responsible for the effects of our design choices. We
recognize that there is a rapidly increasing awareness of the fundamental need
and desire for a more sustainable world, and there is a lot of genuine
goodwill. However, this alone will be ineffective unless we come to understand
and address our persistent misperceptions. The Karlskrona Manifesto for
Sustainability Design aims to initiate a much needed conversation in and beyond
the software community by highlighting such perceptions and proposing a set of
fundamental principles for sustainability design.
",Birgit Penzenstadler,2014,arXiv,Becker2014,,,arXiv,,The Karlskrona manifesto for sustainability design,7676f49d9f74b0cb64eff2d3527ca5e3
27,"  Sustainability is a central concern for our society, and software systems
increasingly play a central role in it. As designers of software technology, we
cause change and are responsible for the effects of our design choices. We
recognize that there is a rapidly increasing awareness of the fundamental need
and desire for a more sustainable world, and there is a lot of genuine
goodwill. However, this alone will be ineffective unless we come to understand
and address our persistent misperceptions. The Karlskrona Manifesto for
Sustainability Design aims to initiate a much needed conversation in and beyond
the software community by highlighting such perceptions and proposing a set of
fundamental principles for sustainability design.
",Guillermo Rodriguez-Navas,2014,arXiv,Becker2014,,,arXiv,,The Karlskrona manifesto for sustainability design,7676f49d9f74b0cb64eff2d3527ca5e3
28,"  Sustainability is a central concern for our society, and software systems
increasingly play a central role in it. As designers of software technology, we
cause change and are responsible for the effects of our design choices. We
recognize that there is a rapidly increasing awareness of the fundamental need
and desire for a more sustainable world, and there is a lot of genuine
goodwill. However, this alone will be ineffective unless we come to understand
and address our persistent misperceptions. The Karlskrona Manifesto for
Sustainability Design aims to initiate a much needed conversation in and beyond
the software community by highlighting such perceptions and proposing a set of
fundamental principles for sustainability design.
",Camille Salinesi,2014,arXiv,Becker2014,,,arXiv,,The Karlskrona manifesto for sustainability design,7676f49d9f74b0cb64eff2d3527ca5e3
29,"  Sustainability is a central concern for our society, and software systems
increasingly play a central role in it. As designers of software technology, we
cause change and are responsible for the effects of our design choices. We
recognize that there is a rapidly increasing awareness of the fundamental need
and desire for a more sustainable world, and there is a lot of genuine
goodwill. However, this alone will be ineffective unless we come to understand
and address our persistent misperceptions. The Karlskrona Manifesto for
Sustainability Design aims to initiate a much needed conversation in and beyond
the software community by highlighting such perceptions and proposing a set of
fundamental principles for sustainability design.
",Norbert Seyff,2014,arXiv,Becker2014,,,arXiv,,The Karlskrona manifesto for sustainability design,7676f49d9f74b0cb64eff2d3527ca5e3
30,"  Sustainability is a central concern for our society, and software systems
increasingly play a central role in it. As designers of software technology, we
cause change and are responsible for the effects of our design choices. We
recognize that there is a rapidly increasing awareness of the fundamental need
and desire for a more sustainable world, and there is a lot of genuine
goodwill. However, this alone will be ineffective unless we come to understand
and address our persistent misperceptions. The Karlskrona Manifesto for
Sustainability Design aims to initiate a much needed conversation in and beyond
the software community by highlighting such perceptions and proposing a set of
fundamental principles for sustainability design.
",Colin Venters,2014,arXiv,Becker2014,,,arXiv,,The Karlskrona manifesto for sustainability design,7676f49d9f74b0cb64eff2d3527ca5e3
31,"  Sustainability is a central concern for our society, and software systems
increasingly play a central role in it. As designers of software technology, we
cause change and are responsible for the effects of our design choices. We
recognize that there is a rapidly increasing awareness of the fundamental need
and desire for a more sustainable world, and there is a lot of genuine
goodwill. However, this alone will be ineffective unless we come to understand
and address our persistent misperceptions. The Karlskrona Manifesto for
Sustainability Design aims to initiate a much needed conversation in and beyond
the software community by highlighting such perceptions and proposing a set of
fundamental principles for sustainability design.
",Coral Calero,2014,arXiv,Becker2014,,,arXiv,,The Karlskrona manifesto for sustainability design,7676f49d9f74b0cb64eff2d3527ca5e3
32,"  Sustainability is a central concern for our society, and software systems
increasingly play a central role in it. As designers of software technology, we
cause change and are responsible for the effects of our design choices. We
recognize that there is a rapidly increasing awareness of the fundamental need
and desire for a more sustainable world, and there is a lot of genuine
goodwill. However, this alone will be ineffective unless we come to understand
and address our persistent misperceptions. The Karlskrona Manifesto for
Sustainability Design aims to initiate a much needed conversation in and beyond
the software community by highlighting such perceptions and proposing a set of
fundamental principles for sustainability design.
",Sedef Akinli Kocak,2014,arXiv,Becker2014,,,arXiv,,The Karlskrona manifesto for sustainability design,7676f49d9f74b0cb64eff2d3527ca5e3
33,"  Sustainability is a central concern for our society, and software systems
increasingly play a central role in it. As designers of software technology, we
cause change and are responsible for the effects of our design choices. We
recognize that there is a rapidly increasing awareness of the fundamental need
and desire for a more sustainable world, and there is a lot of genuine
goodwill. However, this alone will be ineffective unless we come to understand
and address our persistent misperceptions. The Karlskrona Manifesto for
Sustainability Design aims to initiate a much needed conversation in and beyond
the software community by highlighting such perceptions and proposing a set of
fundamental principles for sustainability design.
",Stefanie Betz,2014,arXiv,Becker2014,,,arXiv,,The Karlskrona manifesto for sustainability design,7676f49d9f74b0cb64eff2d3527ca5e3
34,"  CSDMS, The Community Surface Dynamics Modeling System, is an NSF funded
project whose focus is to aid a diverse community of earth and ocean system
model users and developers to use and create robust software quickly. To this
end, CSDMS develops, integrates, archives and disseminates earth-system models
and tools to an international (67 country) community with the goal of building
the set of tools necessary to model the earth system. Modelers use CSDMS for
access to hundreds of open source surface-dynamics models and tools, as well as
model metadata. Such a model repository increases model transparency and helps
eliminate duplication by presenting the current state of modeling efforts. To
increase software sustainability, composability and interoperability, CSDMS
promotes standards that define common modeling interfaces, semantic mediation
between models, and model metadata. Through online resources and workshops,
CSDMS promotes software engineering best practices, which are unfamiliar to
many developers within our modeling community. For example, version control,
unit testing, continuous integration, test-driven development, and well-written
clean code are all topics of the educational mission of CSDMS.
",Eric W. H. Hutton,2014,arXiv,Hutton2014,,,arXiv,,Building Sustainable Software - The CSDMS Approach,603a0ec64d3a752e9f7871b8da4aea81
35,"  CSDMS, The Community Surface Dynamics Modeling System, is an NSF funded
project whose focus is to aid a diverse community of earth and ocean system
model users and developers to use and create robust software quickly. To this
end, CSDMS develops, integrates, archives and disseminates earth-system models
and tools to an international (67 country) community with the goal of building
the set of tools necessary to model the earth system. Modelers use CSDMS for
access to hundreds of open source surface-dynamics models and tools, as well as
model metadata. Such a model repository increases model transparency and helps
eliminate duplication by presenting the current state of modeling efforts. To
increase software sustainability, composability and interoperability, CSDMS
promotes standards that define common modeling interfaces, semantic mediation
between models, and model metadata. Through online resources and workshops,
CSDMS promotes software engineering best practices, which are unfamiliar to
many developers within our modeling community. For example, version control,
unit testing, continuous integration, test-driven development, and well-written
clean code are all topics of the educational mission of CSDMS.
",Mark D. Piper,2014,arXiv,Hutton2014,,,arXiv,,Building Sustainable Software - The CSDMS Approach,603a0ec64d3a752e9f7871b8da4aea81
36,"  CSDMS, The Community Surface Dynamics Modeling System, is an NSF funded
project whose focus is to aid a diverse community of earth and ocean system
model users and developers to use and create robust software quickly. To this
end, CSDMS develops, integrates, archives and disseminates earth-system models
and tools to an international (67 country) community with the goal of building
the set of tools necessary to model the earth system. Modelers use CSDMS for
access to hundreds of open source surface-dynamics models and tools, as well as
model metadata. Such a model repository increases model transparency and helps
eliminate duplication by presenting the current state of modeling efforts. To
increase software sustainability, composability and interoperability, CSDMS
promotes standards that define common modeling interfaces, semantic mediation
between models, and model metadata. Through online resources and workshops,
CSDMS promotes software engineering best practices, which are unfamiliar to
many developers within our modeling community. For example, version control,
unit testing, continuous integration, test-driven development, and well-written
clean code are all topics of the educational mission of CSDMS.
",Scott D. Peckham,2014,arXiv,Hutton2014,,,arXiv,,Building Sustainable Software - The CSDMS Approach,603a0ec64d3a752e9f7871b8da4aea81
37,"  CSDMS, The Community Surface Dynamics Modeling System, is an NSF funded
project whose focus is to aid a diverse community of earth and ocean system
model users and developers to use and create robust software quickly. To this
end, CSDMS develops, integrates, archives and disseminates earth-system models
and tools to an international (67 country) community with the goal of building
the set of tools necessary to model the earth system. Modelers use CSDMS for
access to hundreds of open source surface-dynamics models and tools, as well as
model metadata. Such a model repository increases model transparency and helps
eliminate duplication by presenting the current state of modeling efforts. To
increase software sustainability, composability and interoperability, CSDMS
promotes standards that define common modeling interfaces, semantic mediation
between models, and model metadata. Through online resources and workshops,
CSDMS promotes software engineering best practices, which are unfamiliar to
many developers within our modeling community. For example, version control,
unit testing, continuous integration, test-driven development, and well-written
clean code are all topics of the educational mission of CSDMS.
",Irina Overeem,2014,arXiv,Hutton2014,,,arXiv,,Building Sustainable Software - The CSDMS Approach,603a0ec64d3a752e9f7871b8da4aea81
38,"  CSDMS, The Community Surface Dynamics Modeling System, is an NSF funded
project whose focus is to aid a diverse community of earth and ocean system
model users and developers to use and create robust software quickly. To this
end, CSDMS develops, integrates, archives and disseminates earth-system models
and tools to an international (67 country) community with the goal of building
the set of tools necessary to model the earth system. Modelers use CSDMS for
access to hundreds of open source surface-dynamics models and tools, as well as
model metadata. Such a model repository increases model transparency and helps
eliminate duplication by presenting the current state of modeling efforts. To
increase software sustainability, composability and interoperability, CSDMS
promotes standards that define common modeling interfaces, semantic mediation
between models, and model metadata. Through online resources and workshops,
CSDMS promotes software engineering best practices, which are unfamiliar to
many developers within our modeling community. For example, version control,
unit testing, continuous integration, test-driven development, and well-written
clean code are all topics of the educational mission of CSDMS.
",Albert J. Kettner,2014,arXiv,Hutton2014,,,arXiv,,Building Sustainable Software - The CSDMS Approach,603a0ec64d3a752e9f7871b8da4aea81
